Pitch Type,Avg Speed,Avg Spin,Avg Horizontal Break,Avg Vertical Break
Sinker,90.7,1799,14.7,-25.7
4-Seam,90.7,2084,10.2,-19.5
Slider,80.7,2337,-4,-44.6
Changeup,80,1487,12.6,-36.8
Curveball,72.7,2573,-13.4,-66.1
Sinker,90.1,2021,15.6,-24.7
Cutter,87,2065,-1.2,-28.9
4-Seam,87.2,2044,-6.7,-21.7
Changeup,78.6,2115,-13.1,-34.1
Curveball,71.4,2784,15.7,-68
Sinker,86.7,1959,-12.7,-26.9
4-Seam,93.8,2186,-9.3,-17.7
Slider,87.1,2247,3.7,-29.8
Changeup,86.7,1787,-14.1,-27.9
Curveball,77.9,2416,10.6,-53.2
Sinker,93.1,2090,-16.2,-23.4
Cutter,89.6,2227,-0.5,-23.5
4-Seam,94.7,2249,-9.6,-14.3
Slider,89.4,2315,3.7,-27.4
Changeup,88.5,1535,-13.7,-28.2
Curveball,83.3,2048,4.8,-45.2
Sinker,94.5,2086,-15,-19.5
4-Seam,96.8,2341,-10.5,-13.1
Slider,91.2,2386,2.1,-26.2
Changeup,89,1771,-12.4,-24.1
Curveball,80.7,2647,8.1,-54.1
Sinker,96.5,2256,-13.9,-15.9
Splitter,88.8,1383,-12.4,-30.5
4-Seam,89.6,2191,-3.1,-20.1
Changeup,83.9,1769,-14.4,-31
Curveball,74.9,2752,18.4,-62.4
Sinker,90,2171,-12.9,-23.9
Cutter,84.9,2341,5.5,-32.3
4-Seam,91,2434,-9,-17.9
Slider,84.3,2555,3.4,-34.8
Changeup,80.8,1600,-13.9,-34.6
Curveball,74.9,2810,15.1,-58.3
Sinker,89.6,2290,-16.7,-26.6
4-Seam,93.1,2171,-12.9,-18.2
Changeup,85.8,1570,-14.9,-33.2
Curveball,79.1,2574,14.9,-55.1
Sinker,92.2,2132,-16.6,-24
4-Seam,94.2,2333,-7.6,-12.3
Slider,84.6,2036,2.6,-32.3
Changeup,81.7,1563,-10.2,-27.9
Curveball,79.4,2512,6.8,-59.6
4-Seam,93.8,2077,3.2,-18.9
Slider,83.7,2562,-12.7,-42.6
Changeup,84.8,1514,11.5,-31.5
Curveball,74.5,2844,-9.2,-69.6
Sinker,93.6,1988,11.7,-22.7
Cutter,93.5,2115,-3.7,-23.4
4-Seam,93.1,2190,-9.9,-17
Changeup,82.5,1705,-14.5,-36.9
Curveball,81.2,2334,17,-45.2
Sinker,92.1,2110,-16.1,-22.8
4-Seam,92.9,2362,-5.2,-19.5
Slider,83.2,2776,6.4,-45.8
Changeup,81.2,2178,-13.8,-30.3
Sinker,92.3,2175,-15.9,-25.7
4-Seam,94.2,2131,9.8,-15.7
Changeup,85.3,1795,14.9,-27.8
Curveball,79.2,2637,-5.1,-51.3
Sinker,93.9,2051,16.8,-21.7
Cutter,88.5,2307,-2.6,-28.6
4-Seam,92.7,2419,-5.2,-19.7
Slider,83.2,2495,11.6,-40.4
Changeup,85.3,2001,-7.1,-33
Curveball,82.1,2575,6.9,-52.4
Sinker,91.5,2278,-10.6,-26.7
Cutter,88.7,2514,3.1,-28
4-Seam,90.8,2210,4,-16.5
Slider,81.7,2398,-4.9,-45.5
Changeup,81.2,1869,14.9,-31.3
Curveball,75.6,2428,-7.7,-62.6
